ticker,date,price_usd,market_cap
BTC,2011-05-04,3.40867304734074,20775521.3562371
BTC,2011-05-05,3.34373668439509,20416354.6344138
BTC,2011-05-06,3.45507558445354,21133833.5812062
BTC,2011-05-07,3.64126297779077,22311656.833264
BTC,2011-05-08,3.84866837697253,23624665.9652082
BTC,2011-05-09,3.80408958211572,23396482.3613654
BTC,2011-05-10,5.65166700233781,34811442.9008997
BTC,2011-05-11,5.43975104383402,33558096.1769643
BTC,2011-05-12,6.3348786943308,39133713.1342285
BTC,2011-05-13,8.13903486732905,50363126.9038021
BTC,2011-05-14,7.00724382933957,43444561.3797139
BTC,2011-05-15,6.92492484453536,43010361.9631669
BTC,2011-05-16,7.88514074517826,49071596.3994679
BTC,2011-05-17,7.25719954061952,45256984.8426623
BTC,2011-05-18,6.76316336236119,42273490.686975
BTC,2011-05-19,6.89014363237873,43126097.9405202
BTC,2011-05-20,5.61809621858562,35226025.0439727
BTC,2011-05-21,6.08480066744594,38219241.4114466
BTC,2011-05-22,6.71195603974284,42243037.6602099
BTC,2011-05-23,7.06525678375219,44567639.7212562
BTC,2011-05-24,7.40266058211573,46806652.653662
BTC,2011-05-25,8.56928963705436,54314728.4208487
BTC,2011-05-26,8.78215543424898,55793911.6015055
BTC,2011-05-27,8.52865846814728,54254634.3269088
BTC,2011-05-28,8.34926911981298,53178164.7944201
BTC,2011-05-29,8.40095347223846,53582961.3526217
BTC,2011-05-30,8.77934246464056,56064002.9571546
BTC,2011-05-31,8.72157642197545,55760526.609042
BTC,2011-06-01,9.62377723202805,61619120.7649913
BTC,2011-06-02,10.7027602279369,68629309.3025721
BTC,2011-06-03,14.2646467738165,91613267.2975125
BTC,2011-06-04,18.3127387258913,117816835.683767
BTC,2011-06-05,16.5433423962595,106605298.236063
BTC,2011-06-06,18.4020986440678,118797507.927555
BTC,2011-06-07,23.2378784628872,150213131.833493
BTC,2011-06-08,29.0299213267095,187922292.426022
BTC,2011-06-09,28.7905440181181,186692282.397581
BTC,2011-06-10,24.0493992285213,156216479.85825
BTC,2011-06-11,14.7497466277031,95995038.3422511
BTC,2011-06-12,18.8501447311514,122901058.444132
BTC,2011-06-13,19.5423291145529,127635836.834
BTC,2011-06-14,19.2577355055523,126014917.861555
